asset_id,asset_name,device_type,manufacturer,purchase_year,warranty_status,location
AST00088,ENOUGH-3384,Tablet,Dell,2021,Expired,Kolkata
AST00089,JUST-5970,Server,Acer,2022,Expired,Chennai
AST00090,BETTER-4079,Laptop,HP,2025,Active,Hyderabad
AST00091,MESSAGE-5372,Mobile,Asus,2025,Active,Mumbai
AST00092,TYPE-1427,Printer,Dell,2020,Expired,Chennai
AST00093,GOOD-8680,Tablet,Acer,2023,Expired,Chennai
AST00094,CHOOSE-7348,Server,Apple,2025,Active,Chennai
AST00095,AND-4707,Laptop,Apple,2020,Active,Delhi
AST00096,USUALLY-4646,Tablet,Acer,2022,Active,Mumbai
AST00097,CHALLENGE-3901,Server,Asus,2019,Expired,Pune
AST00098,EDUCATION-8496,Desktop,Apple,2025,Expired,Hyderabad
AST00099,MUST-7232,Tablet,Lenovo,2023,Expired,Hyderabad
AST00100,PM-2791,Server,Apple,2023,Active,Mumbai
AST00101,MISSION-9812,Server,Acer,2023,Active,Kolkata
AST00102,FALL-1807,Desktop,Lenovo,2023,Expired,Kolkata
AST00103,WHATEVER-5684,Server,HP,2021,Expired,Delhi
AST00104,DEGREE-1893,Tablet,Asus,2023,Active,Noida
AST00105,SET-8400,Laptop,Acer,2025,Active,Chennai
AST00106,COUPLE-9952,Desktop,Apple,2025,Expired,Pune
AST00107,KEY-1408,Desktop,Apple,2022,Active,Noida
AST00108,AMERICAN-5097,Printer,Acer,2019,Active,Bangalore
AST00109,SPEND-2870,Tablet,Apple,2019,Expired,Bangalore
AST00110,ACT-7292,Tablet,Asus,2023,Active,Kolkata
AST00111,PROGRAM-7235,Laptop,HP,2023,Expired,Chennai
AST00112,HERSELF-3369,Desktop,Acer,2020,Active,Kolkata
AST00113,SEEK-6071,Tablet,Apple,2021,Expired,Chennai
AST00114,GUN-3155,Desktop,Dell,2019,Expired,Hyderabad
AST00115,SUCH-9153,Server,Asus,2022,Active,Noida
AST00116,POSSIBLE-4553,Mobile,Acer,2020,Expired,Noida
AST00117,HOTEL-8239,Laptop,Asus,2022,Active,Mumbai
AST00118,GREEN-5556,Mobile,Acer,2023,Active,Hyderabad
AST00119,ABLE-3429,Laptop,Acer,2020,Expired,Hyderabad
AST00120,BOOK-1531,Tablet,Asus,2020,Expired,Pune
AST00121,MEETING-1803,Laptop,Apple,2019,Active,Chennai
AST00122,SPORT-5659,Mobile,Acer,2024,Active,Noida
AST00123,THANK-6901,Laptop,Dell,2024,Expired,Pune
AST00124,MORE-7208,Laptop,Apple,2021,Active,Delhi
AST00125,DEFENSE-3204,Laptop,Acer,2022,Expired,Pune
AST00126,DEVELOPMENT-7779,Mobile,HP,2023,Active,Hyderabad
AST00127,CHOOSE-9666,Laptop,Apple,2019,Expired,Kolkata
AST00128,GO-6185,Printer,Asus,2023,Expired,Chennai
AST00129,RESPONSE-9132,Mobile,Acer,2023,Expired,Noida
AST00130,REASON-3947,Mobile,HP,2025,Expired,Mumbai
AST00131,TOWARD-2936,Laptop,Apple,2019,Active,Mumbai
AST00132,SINCE-7793,Server,Dell,2025,Expired,Pune
AST00133,SIX-4478,Laptop,Acer,2023,Active,Delhi
AST00134,MOUTH-2111,Printer,Lenovo,2021,Expired,Hyderabad
AST00135,EYE-6460,Printer,Apple,2019,Active,Chennai
AST00136,NICE-6415,Printer,Acer,2020,Expired,Noida
AST00137,INCLUDE-1582,Tablet,HP,2025,Expired,Chennai
AST00138,VISIT-8546,Mobile,Lenovo,2024,Expired,Kolkata
AST00139,NEWSPAPER-1917,Mobile,Lenovo,2024,Expired,Hyderabad
AST00140,PERFORMANCE-6434,Printer,Dell,2020,Active,Delhi
AST00141,POSITION-1510,Printer,Apple,2025,Active,Kolkata
AST00142,WITH-2914,Printer,Acer,2020,Expired,Hyderabad
AST00143,POPULATION-7780,Laptop,Apple,2021,Active,Pune
AST00144,DEBATE-5958,Desktop,Asus,2022,Expired,Chennai
AST00145,LEARN-7131,Laptop,HP,2019,Active,Noida
AST00146,SPEECH-1408,Server,Asus,2023,Active,Mumbai
AST00147,SIDE-8921,Tablet,Asus,2021,Expired,Pune
AST00148,SUCH-2609,Mobile,Acer,2020,Active,Mumbai
AST00149,AMONG-1598,Server,Apple,2024,Active,Hyderabad
AST00150,LOOK-1721,Tablet,Asus,2021,Active,Pune
AST00151,SERVE-1755,Laptop,Asus,2022,Expired,Hyderabad
AST00152,PERHAPS-6114,Tablet,HP,2023,Expired,Mumbai
AST00153,OFFICER-5695,Printer,Asus,2020,Expired,Noida
AST00154,FILL-2927,Printer,HP,2024,Active,Delhi
AST00155,NOTHING-1249,Mobile,Asus,2019,Active,Mumbai
AST00156,SOMEONE-6739,Mobile,Lenovo,2023,Expired,Chennai
AST00157,LOSS-5641,Mobile,HP,2024,Active,Bangalore
AST00158,ANOTHER-6549,Mobile,Apple,2021,Active,Chennai
AST00159,FEEL-8712,Tablet,Dell,2019,Active,Kolkata
AST00160,GO-2410,Server,Apple,2019,Active,Noida
AST00161,AFFECT-6826,Printer,Lenovo,2023,Active,Bangalore
AST00162,INVOLVE-8629,Mobile,HP,2025,Active,Noida
AST00163,PERFORM-8464,Printer,Acer,2019,Expired,Noida
AST00164,PRODUCT-4666,Desktop,Asus,2020,Expired,Pune
AST00165,STRONG-4004,Tablet,Acer,2022,Expired,Pune
AST00166,AT-8987,Laptop,Dell,2022,Expired,Bangalore
AST00167,MATTER-8842,Server,HP,2021,Expired,Pune
AST00168,THEMSELVES-3087,Mobile,Dell,2023,Expired,Bangalore
AST00169,UNIT-2162,Printer,Asus,2021,Expired,Kolkata
AST00170,KEY-7773,Desktop,Asus,2023,Active,Chennai
AST00171,WOMAN-7288,Laptop,Lenovo,2022,Active,Kolkata
AST00172,MAJOR-8132,Mobile,Lenovo,2025,Active,Chennai
AST00173,WHO-2276,Tablet,Acer,2024,Expired,Bangalore
AST00174,USUALLY-8584,Printer,Asus,2023,Active,Noida
AST00175,POLITICS-6046,Server,Dell,2020,Active,Kolkata
AST00176,OWNER-9098,Tablet,Acer,2021,Active,Bangalore
AST00177,DURING-3276,Mobile,Acer,2020,Active,Chennai
AST00178,WIND-3444,Server,Asus,2024,Expired,Kolkata
AST00179,FORWARD-8326,Desktop,HP,2023,Expired,Delhi
AST00180,THEY-5989,Server,Acer,2023,Expired,Bangalore
AST00181,PERHAPS-1133,Mobile,Asus,2023,Expired,Chennai
AST00182,DOG-5819,Laptop,Lenovo,2025,Active,Hyderabad
AST00183,LISTEN-6885,Laptop,Lenovo,2024,Active,Mumbai
AST00184,EVIDENCE-7459,Tablet,Lenovo,2022,Expired,Kolkata
AST00185,FIRST-8130,Mobile,HP,2022,Active,Noida
AST00186,VOTE-4083,Mobile,Apple,2020,Expired,Kolkata
AST00187,REACH-5726,Tablet,HP,2020,Active,Hyderabad
AST00188,TOGETHER-1257,Desktop,Acer,2019,Expired,Kolkata
AST00189,AMERICAN-2387,Desktop,Acer,2020,Expired,Noida
AST00190,TECHNOLOGY-7974,Mobile,HP,2025,Expired,Kolkata
AST00191,DROP-8373,Server,Lenovo,2023,Active,Chennai
AST00192,RELATE-1121,Mobile,Apple,2022,Active,Delhi
AST00193,WEST-9948,Mobile,Lenovo,2022,Active,Hyderabad
AST00194,PARTICULARLY-8917,Tablet,Lenovo,2023,Active,Noida
AST00195,ENVIRONMENTAL-2311,Desktop,Acer,2024,Expired,Noida
AST00196,INDICATE-2281,Mobile,Asus,2023,Active,Mumbai
AST00197,EVIDENCE-2279,Tablet,Acer,2022,Expired,Hyderabad
AST00198,ABOVE-9765,Laptop,Apple,2021,Expired,Noida
AST00199,NICE-6431,Server,Lenovo,2023,Expired,Delhi
AST00200,DROP-1578,Tablet,Asus,2020,Expired,Delhi
AST00201,AMOUNT-8752,Mobile,HP,2019,Active,Delhi
AST00202,DOCTOR-1447,Printer,Apple,2025,Active,Chennai
AST00203,TERM-2259,Printer,Lenovo,2023,Active,Delhi
AST00204,LISTEN-5209,Laptop,Acer,2021,Active,Chennai
AST00205,EDGE-3476,Tablet,Apple,2023,Expired,Chennai
AST00206,INDUSTRY-4869,Server,HP,2021,Active,Pune
AST00207,ABLE-3376,Mobile,HP,2019,Expired,Kolkata
AST00208,LAW-7277,Desktop,Acer,2025,Expired,Chennai
AST00209,ANYONE-6653,Laptop,Acer,2020,Expired,Bangalore
AST00210,BAG-3745,Server,Apple,2019,Expired,Delhi
AST00211,SUFFER-9724,Desktop,Apple,2022,Expired,Noida
AST00212,SUGGEST-3378,Mobile,Apple,2021,Active,Delhi
AST00213,EYE-8353,Server,Acer,2025,Expired,Hyderabad
AST00214,NORTH-9704,Tablet,Lenovo,2019,Expired,Delhi
AST00215,TEACH-5429,Printer,Dell,2021,Expired,Kolkata
AST00216,WE-4961,Tablet,Acer,2022,Active,Pune
AST00217,OFFICE-3947,Printer,Asus,2024,Active,Hyderabad
AST00218,YARD-2113,Laptop,Apple,2025,Active,Bangalore
AST00219,KEEP-8306,Printer,HP,2024,Expired,Delhi
AST00220,ADMIT-1557,Laptop,Asus,2020,Active,Hyderabad
AST00221,MORE-4552,Mobile,Acer,2023,Active,Bangalore
AST00222,TROUBLE-3128,Server,Acer,2019,Active,Bangalore
AST00223,SIGNIFICANT-4018,Printer,Lenovo,2024,Expired,Bangalore
AST00224,STUDY-8429,Printer,Apple,2024,Expired,Delhi
AST00225,SPEAK-2212,Printer,Dell,2020,Expired,Kolkata
AST00226,PUSH-1984,Printer,Lenovo,2021,Active,Noida
AST00227,STORE-9056,Desktop,Asus,2019,Expired,Chennai
AST00228,FOLLOW-9061,Laptop,HP,2024,Expired,Mumbai
AST00229,SPECIFIC-2740,Server,Acer,2023,Expired,Bangalore
AST00230,PLAN-2194,Laptop,Asus,2019,Expired,Noida
AST00231,RECORD-9154,Desktop,Acer,2019,Active,Hyderabad
AST00232,APPROACH-7397,Printer,HP,2024,Expired,Kolkata
AST00233,MODEL-1060,Mobile,Acer,2023,Expired,Noida
AST00234,PARTNER-7617,Tablet,Dell,2022,Active,Hyderabad
AST00235,DIFFERENT-8898,Laptop,Asus,2022,Expired,Pune
AST00236,NONE-5961,Server,Dell,2024,Active,Pune
AST00237,RECENTLY-6571,Laptop,Apple,2023,Expired,Mumbai
AST00238,OLD-1644,Server,Acer,2020,Active,Delhi
AST00239,FIELD-7391,Laptop,Acer,2024,Expired,Noida
AST00240,STATE-8175,Tablet,HP,2019,Active,Hyderabad
AST00241,BUSINESS-1415,Tablet,Asus,2020,Active,Noida
AST00242,TOP-2032,Mobile,Acer,2022,Expired,Noida
AST00243,EASY-8361,Laptop,Dell,2023,Expired,Hyderabad
AST00244,WISH-1701,Server,Dell,2021,Active,Noida
AST00245,IMPROVE-9791,Desktop,Acer,2024,Active,Bangalore
AST00246,OPTION-3319,Server,Acer,2019,Active,Noida
AST00247,SHE-1750,Desktop,Acer,2023,Active,Hyderabad
AST00248,GET-1818,Printer,Dell,2020,Expired,Chennai
AST00249,COST-2047,Laptop,Dell,2025,Expired,Mumbai
AST00250,OFFER-4320,Server,Lenovo,2019,Expired,Pune
AST00251,REALITY-9943,Desktop,Lenovo,2019,Active,Hyderabad
AST00252,DEEP-3841,Printer,Dell,2023,Active,Delhi
AST00253,ADDRESS-7801,Desktop,Acer,2020,Expired,Chennai
AST00254,REVEAL-4991,Mobile,Dell,2022,Active,Bangalore
AST00255,LAUGH-7162,Desktop,Dell,2025,Expired,Bangalore
AST00256,BASE-1118,Desktop,Dell,2019,Expired,Kolkata
AST00257,GET-8798,Tablet,HP,2024,Active,Chennai
AST00258,RADIO-5439,Mobile,Apple,2024,Expired,Mumbai
AST00259,ELSE-1616,Mobile,HP,2020,Expired,Bangalore
AST00260,YOUR-5934,Printer,Apple,2024,Active,Mumbai
AST00261,MEDIA-2925,Mobile,Dell,2020,Expired,Mumbai
AST00262,AGAINST-4409,Printer,Dell,2022,Active,Bangalore
AST00263,BIT-3444,Tablet,Apple,2025,Expired,Chennai
AST00264,CARRY-1706,Laptop,Acer,2020,Expired,Delhi
AST00265,WORD-8121,Printer,Lenovo,2020,Expired,Hyderabad
AST00266,SO-1859,Mobile,HP,2019,Active,Hyderabad
AST00267,SIDE-9436,Laptop,Dell,2022,Active,Noida
AST00268,EVENING-6340,Server,HP,2023,Expired,Mumbai
AST00269,CONDITION-2804,Printer,HP,2025,Active,Mumbai
AST00270,REALLY-7759,Desktop,Apple,2024,Active,Bangalore
AST00271,FINAL-8936,Laptop,Apple,2022,Active,Mumbai
AST00272,REMAIN-8454,Desktop,Apple,2023,Expired,Chennai
AST00273,EVEN-4181,Tablet,Lenovo,2022,Expired,Mumbai
AST00274,JUST-3084,Laptop,Acer,2021,Active,Delhi
AST00275,COLOR-2820,Server,Apple,2020,Expired,Chennai
AST00276,WESTERN-6629,Desktop,Lenovo,2025,Active,Chennai
AST00277,LAST-4763,Laptop,Apple,2023,Expired,Mumbai
AST00278,DEMOCRAT-8757,Server,Lenovo,2023,Active,Kolkata
AST00279,SHOULDER-5041,Desktop,Lenovo,2024,Expired,Mumbai
AST00280,COMMON-3440,Mobile,Dell,2023,Expired,Hyderabad
AST00281,HIGH-8711,Tablet,Asus,2019,Active,Kolkata
AST00282,BILL-7460,Server,Acer,2023,Active,Noida
AST00283,SOUTHERN-4940,Laptop,Asus,2022,Active,Kolkata
AST00284,WORK-3174,Printer,Lenovo,2020,Active,Bangalore
AST00285,FIGHT-8860,Tablet,Lenovo,2019,Active,Noida
AST00286,FOR-1399,Server,Apple,2025,Active,Kolkata
AST00287,OCCUR-7068,Tablet,Apple,2020,Active,Bangalore
AST00288,ROLE-6454,Mobile,Dell,2022,Expired,Kolkata
AST00289,OFFICIAL-5420,Tablet,Asus,2025,Active,Bangalore
AST00290,PURPOSE-6500,Tablet,Dell,2023,Expired,Hyderabad
AST00291,AUTHORITY-7274,Printer,Apple,2019,Active,Pune
AST00292,BALL-3871,Tablet,Asus,2021,Active,Mumbai
AST00293,CLEARLY-6487,Desktop,Asus,2020,Active,Noida
AST00294,TV-4437,Tablet,HP,2024,Expired,Pune
AST00295,CAMPAIGN-9250,Tablet,Apple,2021,Expired,Hyderabad
AST00296,TONIGHT-7108,Printer,Apple,2019,Expired,Bangalore
AST00297,WRITE-9714,Tablet,Asus,2022,Expired,Noida
AST00298,ABOUT-7031,Tablet,Acer,2023,Active,Mumbai
AST00299,EDUCATION-2430,Laptop,Apple,2022,Active,Delhi
AST00300,ATTORNEY-2791,Desktop,Lenovo,2019,Active,Chennai
AST00301,START-3465,Desktop,Asus,2022,Active,Delhi
AST00302,SPEECH-9870,Desktop,Apple,2022,Expired,Kolkata
AST00303,STUDY-1351,Printer,HP,2022,Active,Hyderabad
AST00304,SON-4806,Mobile,Acer,2025,Expired,Kolkata
AST00305,YOU-6616,Tablet,Acer,2023,Expired,Noida
AST00306,EXPECT-9686,Mobile,Apple,2023,Expired,Delhi
AST00307,COUNTRY-3161,Printer,HP,2023,Expired,Mumbai
AST00308,BUILD-7093,Printer,Dell,2022,Active,Pune
AST00309,SOUTHERN-8469,Desktop,Asus,2021,Active,Delhi
AST00310,LIVE-3873,Tablet,Acer,2020,Active,Chennai
AST00311,GREEN-2915,Laptop,Lenovo,2020,Active,Noida
AST00312,CAMPAIGN-7056,Desktop,HP,2021,Active,Pune
AST00313,MONTH-3423,Printer,Apple,2021,Active,Delhi
AST00314,SPACE-1408,Server,Apple,2019,Active,Noida
AST00315,THING-3556,Laptop,Acer,2021,Expired,Delhi
AST00316,STATE-5748,Mobile,Acer,2022,Active,Noida
AST00317,NOR-2840,Tablet,Apple,2021,Active,Chennai
AST00318,MAKE-2914,Printer,Dell,2024,Expired,Mumbai
AST00319,MUCH-6855,Laptop,Lenovo,2022,Active,Mumbai
AST00320,CAN-9625,Desktop,Lenovo,2023,Active,Hyderabad
AST00321,MEDICAL-9821,Server,Acer,2019,Active,Kolkata
AST00322,RELATE-9035,Printer,Asus,2020,Active,Pune
AST00323,POSSIBLE-3423,Tablet,Apple,2022,Expired,Kolkata
AST00324,FALL-1199,Printer,Lenovo,2021,Expired,Delhi
AST00325,STOCK-2435,Desktop,Acer,2022,Expired,Kolkata
AST00326,BECAUSE-8249,Printer,HP,2025,Expired,Kolkata
AST00327,HEART-2410,Desktop,HP,2020,Expired,Noida
AST00328,STORY-9606,Printer,Dell,2025,Expired,Bangalore
AST00329,BEST-7708,Tablet,Lenovo,2019,Expired,Chennai
AST00330,HEAD-8571,Tablet,Asus,2023,Active,Mumbai
AST00331,CONTROL-7254,Printer,Asus,2020,Expired,Hyderabad
AST00332,IMPORTANT-5947,Mobile,Lenovo,2025,Expired,Noida
AST00333,SURE-1439,Laptop,HP,2020,Expired,Delhi
AST00334,CURRENT-8742,Laptop,Acer,2024,Expired,Kolkata
AST00335,OFFER-9059,Tablet,Acer,2020,Active,Hyderabad
AST00336,YOU-5541,Server,Dell,2019,Expired,Noida
AST00337,ENOUGH-8144,Printer,Acer,2023,Expired,Bangalore
AST00338,SHARE-9397,Tablet,Asus,2021,Active,Delhi
AST00339,AFFECT-1958,Desktop,Lenovo,2020,Expired,Chennai
AST00340,WHETHER-3675,Laptop,Lenovo,2021,Expired,Kolkata
AST00341,WHITE-6832,Laptop,Lenovo,2024,Expired,Bangalore
AST00342,PRESSURE-4175,Tablet,HP,2023,Active,Chennai
AST00343,SUMMER-6285,Printer,Acer,2023,Expired,Delhi
AST00344,STUDENT-6939,Laptop,Asus,2024,Expired,Chennai
AST00345,SPACE-3243,Mobile,Lenovo,2019,Expired,Noida
AST00346,BEFORE-6575,Desktop,Dell,2022,Active,Chennai
AST00347,AT-4622,Desktop,Asus,2023,Active,Kolkata
AST00348,COMMERCIAL-2251,Laptop,HP,2022,Active,Noida
AST00349,CHILD-6104,Tablet,Lenovo,2021,Active,Noida
AST00350,GUESS-9570,Printer,HP,2023,Expired,Hyderabad
AST00351,COLLEGE-2943,Desktop,HP,2024,Active,Mumbai
AST00352,NEARLY-3053,Desktop,HP,2021,Active,Kolkata
AST00353,TEACHER-2830,Laptop,Dell,2024,Expired,Kolkata
AST00354,ROAD-4217,Laptop,Dell,2019,Active,Noida
AST00355,NOR-5145,Laptop,Dell,2019,Expired,Hyderabad
AST00356,DAUGHTER-2581,Laptop,Asus,2025,Active,Mumbai
AST00357,MEASURE-6759,Laptop,Dell,2020,Active,Delhi
AST00358,WINDOW-6698,Printer,HP,2023,Active,Bangalore
AST00359,SOMETIMES-1229,Mobile,HP,2019,Active,Delhi
AST00360,PROGRAM-9800,Laptop,Acer,2020,Active,Mumbai
AST00361,HAVE-8777,Printer,Acer,2023,Active,Noida
AST00362,ALL-2758,Desktop,Lenovo,2024,Expired,Kolkata
AST00363,GROW-9425,Desktop,Apple,2020,Active,Pune
AST00364,TONIGHT-8633,Laptop,Asus,2019,Active,Noida
AST00365,IMPROVE-6918,Tablet,Lenovo,2025,Active,Bangalore
AST00366,STRUCTURE-9088,Laptop,Apple,2021,Expired,Noida
AST00367,SOMETHING-6111,Tablet,Apple,2023,Active,Kolkata
AST00368,LAY-8011,Desktop,Dell,2021,Expired,Pune
AST00369,BODY-1209,Tablet,Apple,2020,Active,Kolkata
AST00370,SURFACE-9563,Tablet,Acer,2022,Active,Bangalore
AST00371,MUSIC-7468,Server,Acer,2020,Active,Chennai
AST00372,STAND-6959,Desktop,Lenovo,2019,Active,Kolkata
AST00373,TASK-4815,Server,Acer,2019,Expired,Delhi
AST00374,INTERESTING-5472,Tablet,Apple,2025,Expired,Noida
AST00375,DIFFERENCE-7626,Server,Asus,2024,Expired,Chennai
AST00376,COMPUTER-8448,Laptop,Dell,2025,Expired,Noida
AST00377,CUSTOMER-4781,Tablet,HP,2022,Active,Bangalore
AST00378,PRESSURE-1865,Laptop,Apple,2024,Active,Chennai
AST00379,PUBLIC-6356,Desktop,Lenovo,2022,Active,Bangalore
AST00380,MEMBER-9518,Server,Apple,2024,Active,Delhi
AST00381,STAFF-9157,Server,Asus,2024,Expired,Pune
AST00382,PEACE-9856,Mobile,Dell,2025,Active,Kolkata
AST00383,SMALL-7285,Server,Lenovo,2019,Expired,Noida
AST00384,SAVE-1589,Laptop,HP,2022,Expired,Chennai
AST00385,AUDIENCE-8056,Desktop,Lenovo,2022,Expired,Noida
AST00386,SIZE-2792,Mobile,Acer,2025,Expired,Noida
AST00387,DREAM-3560,Mobile,Dell,2022,Expired,Delhi
AST00388,THEY-7189,Mobile,Acer,2022,Expired,Delhi
AST00389,REALIZE-2006,Laptop,Asus,2021,Active,Chennai
AST00390,WORLD-7003,Printer,Acer,2025,Active,Pune
AST00391,WHILE-2594,Server,Lenovo,2022,Expired,Kolkata
AST00392,STATEMENT-1924,Tablet,HP,2021,Active,Mumbai
AST00393,MISS-6113,Mobile,Dell,2024,Active,Delhi
AST00394,ONTO-6531,Desktop,Dell,2019,Expired,Hyderabad
AST00395,SPEND-7921,Mobile,Asus,2022,Expired,Delhi
AST00396,LOT-8695,Mobile,Dell,2019,Expired,Kolkata
AST00397,IMPACT-7394,Printer,Asus,2023,Active,Noida
AST00398,FUND-4373,Printer,Apple,2019,Expired,Chennai
AST00399,QUALITY-5907,Printer,Apple,2023,Active,Noida
AST00400,HOME-2234,Mobile,HP,2024,Expired,Delhi
AST00401,DECIDE-5871,Mobile,Apple,2019,Active,Bangalore
AST00402,WE-2552,Mobile,Lenovo,2024,Expired,Bangalore
AST00403,ANALYSIS-9700,Server,Apple,2023,Active,Pune
AST00404,ALTHOUGH-2256,Tablet,Lenovo,2025,Expired,Kolkata
AST00405,LOCAL-9846,Printer,HP,2024,Expired,Kolkata
AST00406,CUP-9443,Server,Acer,2021,Active,Hyderabad
AST00407,ABOUT-9457,Desktop,Asus,2024,Expired,Mumbai
AST00408,OWN-8656,Printer,Acer,2024,Expired,Hyderabad
AST00409,HEAR-4287,Printer,Apple,2023,Active,Mumbai
